repo	deployment_id	sha	ref	deployment_created_at	deployment_updated_at	latest_status	status_created_at	deploy_at	environment_url	log_url	creator_login	pages_url	pages_cname	pages_build_type	pages_source_branch
louispaulet/michelin-restaurants	4852484089	ea769112055c5417a6b953469be04346241d8f7d	gh-pages	2026-05-28T17:56:12Z	2026-05-28T19:41:04Z	inactive	2026-05-28T19:41:04Z	2026-05-28T17:56:27Z	https://louispaulet.github.io/michelin-restaurants/	https://github.com/louispaulet/michelin-restaurants/actions/runs/26592448026/job/78354585942	louispaulet	http://michelin.thefrenchartist.dev/	michelin.thefrenchartist.dev	legacy	gh-pages
louispaulet/hatvp_viz_website	4828459697	6217cfcd1ab1df0165b24cf6f29b86f9bc2a1bfb	gh-pages	2026-05-27T00:23:24Z	2026-06-03T21:35:29Z	inactive	2026-06-03T21:35:29Z	2026-05-27T00:23:39Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26482994056/job/77984229884	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
louispaulet/hatvp_viz_website	4828417834	015a3b29654369c7022329861ecde4457cd7b54f	gh-pages	2026-05-27T00:17:30Z	2026-05-27T00:23:39Z	inactive	2026-05-27T00:23:39Z	2026-05-27T00:17:45Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26482794321/job/77983606821	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
louispaulet/hatvp_viz_website	4828210708	c4d26c51eeb6e09552fc91c1b1c218c84565a8e7	gh-pages	2026-05-26T23:47:24Z	2026-05-27T00:17:45Z	inactive	2026-05-27T00:17:45Z	2026-05-26T23:47:37Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26481763476/job/77980415069	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
louispaulet/benchmark_experiments	4828071529	ac24af93e58762e3757715b7c0d209e52d8d06cd	gh-pages	2026-05-26T23:28:16Z	2026-05-26T23:28:29Z	success	2026-05-26T23:28:29Z	2026-05-26T23:28:29Z	http://repsums.thefrenchartist.dev/	https://github.com/louispaulet/benchmark_experiments/actions/runs/26481075420/job/77978284330	louispaulet	http://repsums.thefrenchartist.dev/	repsums.thefrenchartist.dev	legacy	gh-pages
louispaulet/hatvp_viz_website	4827827475	ea7e9bcffe42a4f1f10ef1abc0307cbed7707e56	gh-pages	2026-05-26T22:55:15Z	2026-05-26T23:47:37Z	inactive	2026-05-26T23:47:37Z	2026-05-26T22:55:28Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26479835014/job/77974379294	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
louispaulet/benchmark_experiments	4827813836	1243719ab531ef2f9aefec3e6f1ffb0715c2fc2a	gh-pages	2026-05-26T22:53:34Z	2026-05-26T23:28:29Z	inactive	2026-05-26T23:28:29Z	2026-05-26T22:53:51Z	http://repsums.thefrenchartist.dev/	https://github.com/louispaulet/benchmark_experiments/actions/runs/26479772532/job/77974170832	louispaulet	http://repsums.thefrenchartist.dev/	repsums.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4824164466	3db4813668753a602560b43a5e3e05bfc7dadddb	gh-pages	2026-05-26T17:06:00Z	2026-05-26T17:06:15Z	success	2026-05-26T17:06:15Z	2026-05-26T17:06:15Z	http://selfinvest.thefrenchartist.dev/	https://github.com/louispaulet/self_investigation/actions/runs/26463102684/job/77916065387	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4824065628	eca57e636551c2ff37dc9318bea8a16f220b4629	gh-pages	2026-05-26T16:57:24Z	2026-05-26T17:06:15Z	inactive	2026-05-26T17:06:15Z	2026-05-26T16:57:46Z	http://selfinvest.thefrenchartist.dev/	https://github.com/louispaulet/self_investigation/actions/runs/26462667203/job/77914496778	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/images_on_a_map	4823623454	c6fab0f34af38dc7a5fbe578e1252848e7f736c2	main	2026-05-26T16:18:35Z	2026-05-26T16:18:57Z	success	2026-05-26T16:18:57Z	2026-05-26T16:18:57Z	https://facemap.thefrenchartist.dev/	https://github.com/louispaulet/images_on_a_map/actions/runs/26460665631/job/77907306870	louispaulet	https://facemap.thefrenchartist.dev/	facemap.thefrenchartist.dev	workflow	gh-pages
louispaulet/louispaulet.github.io	4823599496	c6afc526b6dee3fbf9f1e2909b40ad27e5df26aa	gh-pages	2026-05-26T16:16:33Z	2026-05-28T22:29:51Z	inactive	2026-05-28T22:29:51Z	2026-05-26T16:17:02Z	https://louispaulet.github.io/	https://github.com/louispaulet/louispaulet.github.io/actions/runs/26460554726/job/77906906827	louispaulet	https://louispaulet.github.io/		legacy	gh-pages
louispaulet/timeline_frontend	4823598821	79d56f04a3d846013bebb65c87467f677ec2002f	gh-pages	2026-05-26T16:16:30Z	2026-05-26T16:16:48Z	success	2026-05-26T16:16:48Z	2026-05-26T16:16:48Z	http://timeline.thefrenchartist.dev/	https://github.com/louispaulet/timeline_frontend/actions/runs/26460554410/job/77906896493	louispaulet	http://timeline.thefrenchartist.dev/	timeline.thefrenchartist.dev	legacy	gh-pages
louispaulet/images_on_a_map	4823598793	71ef526de6ea71b801bc2d578d3f28126d4ed8b6	main	2026-05-26T16:16:30Z	2026-05-26T16:18:58Z	inactive	2026-05-26T16:18:58Z	2026-05-26T16:16:47Z	https://facemap.thefrenchartist.dev/	https://github.com/louispaulet/images_on_a_map/actions/runs/26460552603/job/77906896062	louispaulet	https://facemap.thefrenchartist.dev/	facemap.thefrenchartist.dev	workflow	gh-pages
louispaulet/fraud_tinder	4823582627	47aeb2561cb3aabbfa5f1325592a59ce71d3d800	gh-pages	2026-05-26T16:15:13Z	2026-05-26T16:15:29Z	success	2026-05-26T16:15:29Z	2026-05-26T16:15:29Z	https://louispaulet.github.io/fraud_tinder/	https://github.com/louispaulet/fraud_tinder/actions/runs/26460483394/job/77906644973	louispaulet	https://louispaulet.github.io/fraud_tinder/		legacy	gh-pages
louispaulet/monitor_live_projects	4823581922	385663efbd3b72d01c5dd6f69f97f9cbdb15a22d	gh-pages	2026-05-26T16:15:09Z	2026-05-26T16:15:26Z	success	2026-05-26T16:15:26Z	2026-05-26T16:15:26Z	http://monitor.thefrenchartist.dev/	https://github.com/louispaulet/monitor_live_projects/actions/runs/26460480101/job/77906634181	louispaulet	http://monitor.thefrenchartist.dev/	monitor.thefrenchartist.dev	legacy	gh-pages
louispaulet/bernard_generator	4823579815	722c579a36fc68ea13fee90fa76e474a09608259	gh-pages	2026-05-26T16:14:59Z	2026-05-26T16:15:14Z	success	2026-05-26T16:15:14Z	2026-05-26T16:15:14Z	http://bernard.thefrenchartist.dev/	https://github.com/louispaulet/bernard_generator/actions/runs/26460476018/job/77906601068	louispaulet	http://bernard.thefrenchartist.dev/	bernard.thefrenchartist.dev	legacy	gh-pages
louispaulet/face_emotion_in_browser_demo	4823578214	88d4fb3f4406d27b7ff0362c2402a5da9634764e	gh-pages	2026-05-26T16:14:51Z	2026-05-26T16:15:08Z	success	2026-05-26T16:15:08Z	2026-05-26T16:15:08Z	http://face-classifier.thefrenchartist.dev/	https://github.com/louispaulet/face_emotion_in_browser_demo/actions/runs/26460471029/job/77906578558	louispaulet	http://face-classifier.thefrenchartist.dev/	face-classifier.thefrenchartist.dev	legacy	gh-pages
louispaulet/benchmark_experiments	4823577182	da852ae9bdfbe2b83207d2efa7c0d3215e25d01c	gh-pages	2026-05-26T16:14:46Z	2026-05-26T22:53:51Z	inactive	2026-05-26T22:53:51Z	2026-05-26T16:15:05Z	http://repsums.thefrenchartist.dev/	https://github.com/louispaulet/benchmark_experiments/actions/runs/26460464300/job/77906560991	louispaulet	http://repsums.thefrenchartist.dev/	repsums.thefrenchartist.dev	legacy	gh-pages
louispaulet/gpt_recommender	4823576270	9cde17c90a2f89780e384af5f68e33edd509f5c6	gh-pages	2026-05-26T16:14:41Z	2026-05-26T16:14:55Z	success	2026-05-26T16:14:54Z	2026-05-26T16:14:54Z	https://gpt-reco.thefrenchartist.dev/	https://github.com/louispaulet/gpt_recommender/actions/runs/26460460442/job/77906546432	louispaulet	https://gpt-reco.thefrenchartist.dev/	gpt-reco.thefrenchartist.dev	legacy	gh-pages
louispaulet/simple_game_of_life	4823575512	370ea66adbc319e596b652d70610fecccef15a38	gh-pages	2026-05-26T16:14:37Z	2026-05-26T16:14:52Z	success	2026-05-26T16:14:52Z	2026-05-26T16:14:52Z	https://conway.thefrenchartist.dev/	https://github.com/louispaulet/simple_game_of_life/actions/runs/26460456497/job/77906532544	louispaulet	https://conway.thefrenchartist.dev/	conway.thefrenchartist.dev	legacy	gh-pages
louispaulet/hotpepperz	4823573362	1bec65362ae0984df1a357c558b1b688ee984bc2	gh-pages	2026-05-26T16:14:25Z	2026-05-26T16:14:48Z	success	2026-05-26T16:14:48Z	2026-05-26T16:14:48Z	http://hotpepperz.thefrenchartist.dev/	https://github.com/louispaulet/hotpepperz/actions/runs/26460432420/job/77906496167	louispaulet	http://hotpepperz.thefrenchartist.dev/	hotpepperz.thefrenchartist.dev	legacy	gh-pages
louispaulet/mnist_client	4823573371	fa85ae5d42f0e781db273243ff4ee188f8d6e978	gh-pages	2026-05-26T16:14:25Z	2026-05-26T16:14:42Z	success	2026-05-26T16:14:42Z	2026-05-26T16:14:42Z	http://mnist.thefrenchartist.dev/	https://github.com/louispaulet/mnist_client/actions/runs/26460438006/job/77906496559	louispaulet	http://mnist.thefrenchartist.dev/	mnist.thefrenchartist.dev	legacy	gh-pages
louispaulet/crossref_news	4823572799	535ad1135fbda13f3710deff53bbc8cd0c88a6a7	gh-pages	2026-05-26T16:14:22Z	2026-05-26T16:14:39Z	success	2026-05-26T16:14:39Z	2026-05-26T16:14:39Z	http://crossrefnews.thefrenchartist.dev/	https://github.com/louispaulet/crossref_news/actions/runs/26460443181/job/77906487741	louispaulet	http://crossrefnews.thefrenchartist.dev/	crossrefnews.thefrenchartist.dev	legacy	gh-pages
louispaulet/seamless-tester	4823572195	2e722b077aa68eebf5ad98963ff892a5a5f9626f	gh-pages	2026-05-26T16:14:19Z	2026-05-26T16:14:36Z	success	2026-05-26T16:14:36Z	2026-05-26T16:14:36Z	https://seamless.thefrenchartist.dev/	https://github.com/louispaulet/seamless-tester/actions/runs/26460440581/job/77906476831	louispaulet	https://seamless.thefrenchartist.dev/	seamless.thefrenchartist.dev	legacy	gh-pages
louispaulet/menu_display_2	4823570068	bc8c24b992a01ed83f7062b443a9f2720957114f	gh-pages	2026-05-26T16:14:07Z	2026-05-26T16:14:27Z	success	2026-05-26T16:14:27Z	2026-05-26T16:14:27Z	http://exquisite-menus.thefrenchartist.dev/	https://github.com/louispaulet/menu_display_2/actions/runs/26460424806/job/77906438930	louispaulet	http://exquisite-menus.thefrenchartist.dev/	exquisite-menus.thefrenchartist.dev	legacy	gh-pages
louispaulet/generative_website	4823570445	476b34efd09594a198f3a3cbd9f900f5b824e47c	gh-pages	2026-05-26T16:14:09Z	2026-05-26T16:14:24Z	success	2026-05-26T16:14:24Z	2026-05-26T16:14:24Z	https://genweb.thefrenchartist.dev/	https://github.com/louispaulet/generative_website/actions/runs/26460429681/job/77906445008	louispaulet	https://genweb.thefrenchartist.dev/	genweb.thefrenchartist.dev	legacy	gh-pages
louispaulet/louispaulet.github.io	4823565335	2a5ec5ce493cdad759d347fbd2e253e3f7bcaf0a	gh-pages	2026-05-26T16:13:40Z	2026-05-26T16:17:02Z	inactive	2026-05-26T16:17:02Z	2026-05-26T16:13:54Z	https://louispaulet.github.io/	https://github.com/louispaulet/louispaulet.github.io/actions/runs/26460400535/job/77906353994	louispaulet	https://louispaulet.github.io/		legacy	gh-pages
louispaulet/ratp_time	4823564421	0d21c6920a5554849335ce15abc6292b90a0f397	gh-pages	2026-05-26T16:13:35Z	2026-05-26T16:13:49Z	success	2026-05-26T16:13:49Z	2026-05-26T16:13:49Z	http://ratp.thefrenchartist.dev/	https://github.com/louispaulet/ratp_time/actions/runs/26460398476/job/77906339540	louispaulet	http://ratp.thefrenchartist.dev/	ratp.thefrenchartist.dev	legacy	gh-pages
louispaulet/pretty_cats	4823563072	39d52abe19f8617030df9bfc8556b46982637723	gh-pages	2026-05-26T16:13:29Z	2026-05-26T16:13:42Z	success	2026-05-26T16:13:42Z	2026-05-26T16:13:42Z	https://pretty-cats.thefrenchartist.dev/	https://github.com/louispaulet/pretty_cats/actions/runs/26460395037/job/77906318733	louispaulet	https://pretty-cats.thefrenchartist.dev/	pretty-cats.thefrenchartist.dev	legacy	gh-pages
louispaulet/ponzi_simulator	4823562263	cd5f16762c99669a88e7480613cc846ec4b0d9be	gh-pages	2026-05-26T16:13:25Z	2026-05-26T16:13:40Z	success	2026-05-26T16:13:40Z	2026-05-26T16:13:40Z	http://ponzi.thefrenchartist.dev/	https://github.com/louispaulet/ponzi_simulator/actions/runs/26460392822/job/77906306912	louispaulet	http://ponzi.thefrenchartist.dev/	ponzi.thefrenchartist.dev	legacy	gh-pages
louispaulet/simple_city_builder	4823560418	99b9f2ba014efb4b089f0c469a34c3231a69a2ea	gh-pages	2026-05-26T16:13:16Z	2026-05-26T16:13:30Z	success	2026-05-26T16:13:30Z	2026-05-26T16:13:30Z	http://city-builder.thefrenchartist.dev/	https://github.com/louispaulet/simple_city_builder/actions/runs/26460385177/job/77906277084	louispaulet	http://city-builder.thefrenchartist.dev/	city-builder.thefrenchartist.dev	legacy	gh-pages
louispaulet/images_on_a_map	4823559906	71ef526de6ea71b801bc2d578d3f28126d4ed8b6	main	2026-05-26T16:13:13Z	2026-05-26T16:16:48Z	inactive	2026-05-26T16:16:47Z	2026-05-26T16:13:28Z	https://facemap.thefrenchartist.dev/	https://github.com/louispaulet/images_on_a_map/actions/runs/26460386723/job/77906268104	louispaulet	https://facemap.thefrenchartist.dev/	facemap.thefrenchartist.dev	workflow	gh-pages
louispaulet/wikipedia-curiosity-cabinet	4823558941	0c0b8a0b9e1cefff87b2e47969d9a82ca5e13fe4	gh-pages	2026-05-26T16:13:07Z	2026-05-26T16:13:25Z	success	2026-05-26T16:13:25Z	2026-05-26T16:13:25Z	http://wunderwiki.thefrenchartist.dev/	https://github.com/louispaulet/wikipedia-curiosity-cabinet/actions/runs/26460376259/job/77906250070	louispaulet	http://wunderwiki.thefrenchartist.dev/	wunderwiki.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4823499683	30baa1a767699b1877a4a4760fab3a08881ef6a2	gh-pages	2026-05-26T16:08:05Z	2026-05-26T16:57:47Z	inactive	2026-05-26T16:57:47Z	2026-05-26T16:08:22Z	http://selfinvest.thefrenchartist.dev/	https://github.com/louispaulet/self_investigation/actions/runs/26460119531/job/77905274360	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4823409221	016e7f3211d0c52209d684fac6f7ea52ef08811a	gh-pages	2026-05-26T16:00:32Z	2026-05-26T16:08:22Z	inactive	2026-05-26T16:08:22Z	2026-05-26T16:00:49Z	http://selfinvest.thefrenchartist.dev/	https://github.com/louispaulet/self_investigation/actions/runs/26459709938/job/77903789385	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4823283379	a936283e0d193bfeb1bfe0b93c01eb8c2414a8a2	gh-pages	2026-05-26T15:50:14Z	2026-05-26T15:50:28Z	success	2026-05-26T15:50:28Z	2026-05-26T15:50:28Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26459149338/job/77901746712	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4823268955	d4a5f2d68f6a4533a5751d7869ad46ae201c3ce9	gh-pages	2026-05-26T15:49:03Z	2026-05-26T15:50:29Z	inactive	2026-05-26T15:50:29Z	2026-05-26T15:49:19Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26459086931/job/77901515765	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4823230787	a2d9eff6f920947cc9d35d1ecb2e73c6483d690b	gh-pages	2026-05-26T15:45:57Z	2026-05-26T15:49:20Z	inactive	2026-05-26T15:49:20Z	2026-05-26T15:46:25Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26458903253/job/77900898632	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4815189756	18f85d4a35815470824d456f2eaeeb217a714a7b	gh-pages	2026-05-26T00:06:43Z	2026-05-26T15:46:26Z	inactive	2026-05-26T15:46:26Z	2026-05-26T00:06:56Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26424877831/job/77786423133	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4815035765	37775ee0002cef5578260069a5950aad3d0e5525	gh-pages	2026-05-25T23:40:50Z	2026-05-26T00:06:56Z	inactive	2026-05-26T00:06:56Z	2026-05-25T23:41:02Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26424183965/job/77784527597	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4815029073	98db57cb3937a170792985e00b8a77d3cb370e2b	gh-pages	2026-05-25T23:39:47Z	2026-05-25T23:41:03Z	inactive	2026-05-25T23:41:03Z	2026-05-25T23:40:01Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26424154033/job/77784444582	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4814925175	c610dbcd71519be70a2c871dc16161f0b9cc0fd3	gh-pages	2026-05-25T23:23:19Z	2026-05-25T23:40:02Z	inactive	2026-05-25T23:40:02Z	2026-05-25T23:23:31Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26423711936/job/77783206205	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/self_investigation	4814861874	0424322e8a50344059ad1078fe5b5fb664cee314	gh-pages	2026-05-25T23:12:34Z	2026-05-25T23:23:32Z	inactive	2026-05-25T23:23:32Z	2026-05-25T23:12:49Z	https://louispaulet.github.io/self_investigation/	https://github.com/louispaulet/self_investigation/actions/runs/26423429939/job/77782439892	louispaulet	http://selfinvest.thefrenchartist.dev/	selfinvest.thefrenchartist.dev	legacy	gh-pages
louispaulet/hatvp_viz_website	4814688255	e523176e537976f435c086e4c84ffcc060cd1692	gh-pages	2026-05-25T22:43:34Z	2026-05-26T22:55:29Z	inactive	2026-05-26T22:55:29Z	2026-05-25T22:43:47Z	https://hatvp.thefrenchartist.dev/	https://github.com/louispaulet/hatvp_viz_website/actions/runs/26422667462/job/77780318149	louispaulet	https://hatvp.thefrenchartist.dev/	hatvp.thefrenchartist.dev	legacy	gh-pages
